0,2.0
1,4.0
2,6.0
3,8.0
4,10.0
5,12.0
6,14.0
7,16.0
8,18.0
9,20.0
10,22.0
11,24.0
12,26.0
13,28.0
14,30.0
15,32.0
16,34.0
17,36.0
18,38.0
19,40.0
20,42.0
21,44.0
22,46.0
23,48.0
24,50.0
25,52.0
26,54.0
27,56.0
28,58.0
29,60.0
30,62.0
31,64.0
32,66.0
33,68.0
34,70.0
35,72.0
36,74.0
37,76.0
38,78.0
39,80.0
40,82.0
41,84.0
42,86.0
43,88.0
44,90.0
45,92.0
46,94.0
47,96.0
48,98.0
49,100.0
50,102.0
51,104.0
52,106.0
53,108.0
54,110.0
55,112.0
56,114.0
57,116.0
58,118.0
59,120.0
60,122.0
61,124.0
62,126.0
63,128.0
64,130.0
65,132.0
66,134.0
67,136.0
68,138.0
69,140.0
70,142.0
71,144.0
72,146.0
73,148.0
74,150.0
75,152.0
76,154.0
77,156.0
78,158.0
79,160.0
80,162.0
81,164.0
82,166.0
83,168.0
84,170.0
85,172.0
86,174.0
87,176.0
88,178.0
89,180.0
90,182.0
91,184.0
92,186.0
93,188.0
94,190.0
95,192.0
96,194.0
97,196.0
98,198.0
99,200.0
100,202.0
